Training mode: MMD only
Training model...
Epoch [85/100]	Time: 1.75 seconds	Classifier Loss: 0.363		Souce Domain Accuracy: 82.03%    Target Domain Accuracy: 52.34%
Epoch [86/100]	Time: 1.75 seconds	Classifier Loss: 0.391		Souce Domain Accuracy: 83.59%    Target Domain Accuracy: 53.71%
Epoch [87/100]	Time: 1.76 seconds	Classifier Loss: 0.350		Souce Domain Accuracy: 83.20%    Target Domain Accuracy: 51.17%
Epoch [88/100]	Time: 0.73 seconds	Classifier Loss: 0.346		Souce Domain Accuracy: 82.23%    Target Domain Accuracy: 51.56%
Epoch [89/100]	Time: 1.77 seconds	Classifier Loss: 0.342		Souce Domain Accuracy: 78.71%    Target Domain Accuracy: 53.52%
Epoch [90/100]	Time: 1.77 seconds	Classifier Loss: 0.354		Souce Domain Accuracy: 82.03%    Target Domain Accuracy: 54.30%
Epoch [91/100]	Time: 0.72 seconds	Classifier Loss: 0.327		Souce Domain Accuracy: 78.91%    Target Domain Accuracy: 52.15%
Epoch [92/100]	Time: 1.77 seconds	Classifier Loss: 0.344		Souce Domain Accuracy: 80.08%    Target Domain Accuracy: 53.32%
Epoch [93/100]	Time: 1.77 seconds	Classifier Loss: 0.341		Souce Domain Accuracy: 80.08%    Target Domain Accuracy: 56.45%
Epoch [94/100]	Time: 1.78 seconds	Classifier Loss: 0.335		Souce Domain Accuracy: 78.32%    Target Domain Accuracy: 57.42%
Epoch [95/100]	Time: 0.73 seconds	Classifier Loss: 0.316		Souce Domain Accuracy: 82.23%    Target Domain Accuracy: 55.27%
Epoch [96/100]	Time: 1.77 seconds	Classifier Loss: 0.417		Souce Domain Accuracy: 76.37%    Target Domain Accuracy: 61.33%
Epoch [97/100]	Time: 1.77 seconds	Classifier Loss: 0.403		Souce Domain Accuracy: 77.93%    Target Domain Accuracy: 59.38%
Epoch [98/100]	Time: 0.72 seconds	Classifier Loss: 0.412		Souce Domain Accuracy: 80.86%    Target Domain Accuracy: 60.35%
Epoch [99/100]	Time: 1.76 seconds	Classifier Loss: 0.378		Souce Domain Accuracy: 81.64%    Target Domain Accuracy: 60.35%
Epoch [100/100]	Time: 1.77 seconds	Classifier Loss: 0.323		Souce Domain Accuracy: 82.81%    Target Domain Accuracy: 59.38%
Training complete
Saved model in: results/DeepMerge_net.pt
-------------------------------------------------
Validating model...
Source domain results:
Accuracy: 82.81%    Balanced Accuracy: 82.21%    Precision: 0.92    Recall: 0.70    F1: 0.79    Brier_score: 0.17    AUC: 0.87
Target domain results:
Accuracy: 60.85%    Balanced Accuracy: 61.85%    Precision: 0.56    Recall: 0.82    F1: 0.67    Brier_score: 0.39    AUC: 0.65
