Training mode: MMD + fisher + EM
Training model...
Epoch [43/200]	Time: 20.68 seconds	Total Loss: 1.782	Classifier Loss: 0.353	Transfer Loss: 0.108	Fisher Loss: 1.304	EM Loss: 0.018	Souce Domain Accuracy: 78.45%    Target Domain Accuracy: 74.15%
Epoch [44/200]	Time: 19.28 seconds	Total Loss: 1.764	Classifier Loss: 0.336	Transfer Loss: 0.108	Fisher Loss: 1.304	EM Loss: 0.017	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 73.44%
Epoch [45/200]	Time: 19.27 seconds	Total Loss: 1.772	Classifier Loss: 0.342	Transfer Loss: 0.110	Fisher Loss: 1.303	EM Loss: 0.017	Souce Domain Accuracy: 79.10%    Target Domain Accuracy: 74.09%
Epoch [46/200]	Time: 19.23 seconds	Total Loss: 1.760	Classifier Loss: 0.331	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 76.76%    Target Domain Accuracy: 71.74%
Epoch [47/200]	Time: 19.27 seconds	Total Loss: 1.759	Classifier Loss: 0.330	Transfer Loss: 0.109	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 77.47%    Target Domain Accuracy: 72.92%
Epoch [48/200]	Time: 19.28 seconds	Total Loss: 1.756	Classifier Loss: 0.327	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 75.26%    Target Domain Accuracy: 72.85%
Epoch [49/200]	Time: 20.69 seconds	Total Loss: 1.756	Classifier Loss: 0.327	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 76.95%    Target Domain Accuracy: 72.46%
Epoch [50/200]	Time: 19.25 seconds	Total Loss: 1.757	Classifier Loss: 0.327	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 78.45%    Target Domain Accuracy: 73.44%
Epoch [51/200]	Time: 19.23 seconds	Total Loss: 1.755	Classifier Loss: 0.325	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 78.32%    Target Domain Accuracy: 72.59%
Epoch [52/200]	Time: 19.26 seconds	Total Loss: 1.740	Classifier Loss: 0.312	Transfer Loss: 0.109	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 78.52%    Target Domain Accuracy: 74.22%
Epoch [53/200]	Time: 19.26 seconds	Total Loss: 1.735	Classifier Loss: 0.306	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 80.21%    Target Domain Accuracy: 72.40%
Epoch [54/200]	Time: 20.71 seconds	Total Loss: 1.745	Classifier Loss: 0.314	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 72.66%
Epoch [55/200]	Time: 19.24 seconds	Total Loss: 1.745	Classifier Loss: 0.316	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.016	Souce Domain Accuracy: 79.10%    Target Domain Accuracy: 73.96%
Epoch [56/200]	Time: 19.23 seconds	Total Loss: 1.745	Classifier Loss: 0.314	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 78.97%    Target Domain Accuracy: 72.33%
Epoch [57/200]	Time: 19.25 seconds	Total Loss: 1.739	Classifier Loss: 0.309	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 78.65%    Target Domain Accuracy: 72.20%
Epoch [58/200]	Time: 19.26 seconds	Total Loss: 1.743	Classifier Loss: 0.313	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 79.95%    Target Domain Accuracy: 73.76%
Epoch [59/200]	Time: 20.64 seconds	Total Loss: 1.739	Classifier Loss: 0.308	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 78.12%    Target Domain Accuracy: 72.27%
Epoch [60/200]	Time: 19.29 seconds	Total Loss: 1.727	Classifier Loss: 0.297	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 78.84%    Target Domain Accuracy: 73.18%
Epoch [61/200]	Time: 19.29 seconds	Total Loss: 1.734	Classifier Loss: 0.303	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.015	Souce Domain Accuracy: 79.43%    Target Domain Accuracy: 73.44%
Epoch [62/200]	Time: 19.29 seconds	Total Loss: 1.720	Classifier Loss: 0.290	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 78.84%    Target Domain Accuracy: 72.14%
Epoch [63/200]	Time: 19.27 seconds	Total Loss: 1.721	Classifier Loss: 0.291	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 79.49%    Target Domain Accuracy: 73.44%
Epoch [64/200]	Time: 19.32 seconds	Total Loss: 1.711	Classifier Loss: 0.282	Transfer Loss: 0.111	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 78.78%    Target Domain Accuracy: 73.44%
Epoch [65/200]	Time: 20.63 seconds	Total Loss: 1.729	Classifier Loss: 0.298	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 79.30%    Target Domain Accuracy: 73.11%
Epoch [66/200]	Time: 19.28 seconds	Total Loss: 1.711	Classifier Loss: 0.281	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 79.88%    Target Domain Accuracy: 72.92%
Epoch [67/200]	Time: 19.26 seconds	Total Loss: 1.712	Classifier Loss: 0.280	Transfer Loss: 0.114	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 79.04%    Target Domain Accuracy: 71.42%
Epoch [68/200]	Time: 19.26 seconds	Total Loss: 1.704	Classifier Loss: 0.276	Transfer Loss: 0.110	Fisher Loss: 1.304	EM Loss: 0.014	Souce Domain Accuracy: 78.71%    Target Domain Accuracy: 72.66%
Epoch [69/200]	Time: 19.23 seconds	Total Loss: 1.699	Classifier Loss: 0.270	Transfer Loss: 0.112	Fisher Loss: 1.304	EM Loss: 0.013	Souce Domain Accuracy: 78.65%    Target Domain Accuracy: 73.05%
